Title,Authors,Publication Year,Journal,PMID,PMCID,DOI,Link,Associated Data,Associated Data Repository(-ies)
Annotation of the Human Adult Urinary Metabolome and Metabolite Identification Using Ultra High Performance Liquid Chromatography Coupled to a Linear Quadrupole Ion Trap-Orbitrap Mass Spectrometer,"Aurelie Roux, Ying Xu, Jean-François Heilier, Marie-Françoise Olivier, Eric Ezan, Jean-Claude Tabet & Christophe Junot",2012,Analytical Chemistry,22770225,NA,10.1021/ac300829f,http://pubs.acs.org/doi/abs/10.1021/ac300829f,MTBLS20,MetaboLights
DynaMet: A Fully Automated Pipeline for Dynamic LC-MS Data,"Patrick Kiefer, Uwe Schmitt, Jonas E. N. MŸller, Johannes Hartl, Fabian Meyer, Florian Ryffel & Julia A. Vorholt",2015,Analytical Chemistry,26366644,NA,10.1021/acs.analchem.5b01660,http://pubs.acs.org/doi/abs/10.1021/acs.analchem.5b01660,MTBLS228,MetaboLights
DynaMet: A Fully Automated Pipeline for Dynamic LC-MS Data,"Patrick Kiefer, Uwe Schmitt, Jonas E. N. MŸller, Johannes Hartl, Fabian Meyer, Florian Ryffel & Julia A. Vorholt",2015,Analytical Chemistry,26366644,NA,10.1021/acs.analchem.5b01660,http://pubs.acs.org/doi/abs/10.1021/acs.analchem.5b01660,MTBLS229,MetaboLights
geoRge: A Computational Tool To Detect the Presence of Stable Isotope Labeling in LC/MS-Based Untargeted Metabolomics,"Jordi Capellades, Miriam Navarro, Sara Samino, Marta Garcia-Ramirez, Cristina Hernandez, Rafael Simo, Maria Vinaixa & Oscar Yanes",2016,Analytical Chemistry,26639619,NA,10.1021/acs.analchem.5b03628,http://pubs.acs.org/doi/abs/10.1021/acs.analchem.5b03628,MTBLS213,MetaboLights
eRah: A Computational Tool Integrating Spectral Deconvolution and Alignment with Quantification and Identification of Metabolites in GC/MS-Based Metabolomics,"Xavier Domingo-Almenara, Jesus Brezmes, Maria Vinaixa, Sara Samino, Noelia Ramirez, Marta Ramon-Krauel, Carles Lerin, Marta D’az, Lourdes Ib‡–ez, Xavier Correig, Alexandre Perera-Lluna & Oscar Yanes",2016,Analytical Chemistry,27584001,NA,10.1021/acs.analchem.6b02927,http://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b02927,MTBLS321,MetaboLights
Improving Natural Products Identification through Targeted LC-MS/MS in an Untargeted Secondary Metabolomics Workflow,"Thomas Hoffmann, Daniel Krug, Stephan HŸttel & Rolf MŸller",2014,Analytical Chemistry,25280058,NA,10.1021/ac502805w,http://pubs.acs.org/doi/abs/10.1021/ac502805w,MSV000078960,GNPS
Real-time metabolomics on living microorganisms using ambient electrospray ionization flow-probe,"Cheng-Chih Hsu, Mariam S. ElNaggar, Yao Peng, Jinshu Fang, Laura M. Sanchez, Samantha J. Mascuch, Kirsten A. M¿ller, Emad K. Alazzeh, Jiri Pikula, Robert A. Quinn, Yi Zeng, Benjamin E. Wolfe, Rachel J. Dutton, Lena Gerwick, Lixin Zhang, Xueting Liu, Maria MŒnsson, & Pieter C. Dorrestein",2013,Analytical Chemistry,23819546,PMC3890442,10.1021/ac401613x,http://pubs.acs.org/doi/abs/10.1021/ac401613x,MSV000078636,GNPS
"1H NMR, GC-EI-TOFMS, and Data Set Correlation for Fruit Metabolomics: Application to Spatial Metabolite Analysis in Melon","Benoit Biais, J. William Allwood, Catherine Deborde, Yun Xu, Mickael Maucourt, Bertrand Beauvoit, Warwick B. Dunn, Daniel Jacob, Royston Goodacre, Dominique Rolin & Annick Moing",2009,Analytical Chemistry,19298059,NA,10.1021/ac9001996,http://pubs.acs.org/doi/abs/10.1021/ac9001996,M08001,MeRy-B
Nuclear Magnetic Resonance-Based Blood Metabolic Profiles of Rats Exposed to Short-Term Caloric Restriction,"Gustav Nestor, Jan Eriksson, Corine Sandstr_m & Kjell Malml_f",2015,Analytical Letters,NA,NA,10.1080/00032719.2015.1041028,http://www.tandfonline.com/doi/abs/10.1080/00032719.2015.1041028?journalCode=lanl20,MTBLS114,MetaboLights
Positional Enrichment by Proton Analysis (PEPA): a One- Dimensional 1H-NMR Approach for 13C Stable Isotope Tracer Studies,"Maria Vinaixa, Miguel A. Rodr’guez, Suvi Aivio, Jordi Capellades, Josep G—mez, Nicolau Canyellas, Travis H. Stracker & Oscar Yanes",2017,Angewandte Chemie,NA,NA,10.1002/anie.201611347,http://onlinelibrary.wiley.com/doi/10.1002/anie.201611347/abstract,MTBLS247,MetaboLights
Transcript and metabolite profiling of the adaptive response to mild decreases in oxygen concentration in the roots of arabidopsis plants,"Joost T. van Dongen, Anja Fr_hlich, Santiago J. Ram’rez-Aguilar, Nicolas Schauer, Alisdair R. Fernie, Alexander Erban, Joachim Kopka, Jeremy Clark, Anke Langer & Peter Geigenberger",2008,Annals of Botany,18660497,PMC2707303,10.1093/aob/mcn126,http://aob.oxfordjournals.org/content/103/2/269.abstract,MEX16,MetaPhen
Metabolomics Guides Rational Development of a Simplified Cell Culture Medium for Drug Screening against Trypanosoma brucei,"Darren J. Creek, Brunda Nijagal, Dong-Hyun Kim, Federico Rojas, Keith R. Matthews & Michael P. Barrett",2013,Antimicrobial Agents and Chemotherapy,23571546,PMC3716122,10.1128/aac.00044-13,http://aac.asm.org/content/57/6/2768,MTBLS49,MetaboLights
Untargeted metabolomics to ascertain antibiotic modes of action,"Isabel M Vincenta, David E Ehmannb, Scott Millsb, Manos Perrosb & Michael P Barrett",2016,Antimicrobial Agents and Chemotherapy,26833150,PMC4808186,10.1128/aac.02109-15,http://aac.asm.org/content/early/2016/01/26/AAC.02109-15,MTBLS464,MetaboLights
Wolbachia Modulates Lipid Metabolism in Aedes albopictus Mosquito Cells,"Jennifer C. Molloy, Ulf Sommer, Mark R. Viant & Steven P. Sinkins",2016,Applied and Environmental Microbiology,26994075,PMC4959074,10.1128/aem.00275-16,http://aem.asm.org/content/82/10/3109,MTBLS210,MetaboLights
"Decreased Bacterial Diversity Characterizes the Altered Gut Microbiota in Patients With Psoriatic Arthritis, Resembling Dysbiosis in Inflammatory Bowel Disease","Jose U. Scher, Carles Ubeda, Alejandro Artacho, Mukundan Attur, Sandrine Isaac, Soumya M. Reddy, Shoshana Marmon, Andrea Neimann, Samuel Brusca, Tejas Patel, Julia Manasson, Eric G. Pamer, Dan R. Littman & Steven B. Abramson",2014,Arthritis & Rheumatism,25319745,PMC4280348,10.1002/art.38892,http://onlinelibrary.wiley.com/doi/10.1002/art.38892/full,ST000218,Metabolomics Workbench
"Metabolomic, proteomic and biophysical analyses of Arabidopsis thaliana cells exposed to a caesium stress. Influence of potassium supply","P. Le Lay, M.-P. Isaure, J.-E. Sarry, L. Kuhn, B .Fayard, J.-L. Le Bail, O. Bastiena, J. Garin, C. Roby & J. Bourguignon",2006,Biochimie,16716483,NA,10.1016/j.biochi.2006.03.013,http://www.sciencedirect.com/science/article/pii/S0300908406000502,MEX74,MetaPhen
"Metabolomic, proteomic and biophysical analyses of Arabidopsis thaliana cells exposed to a caesium stress. Influence of potassium supply","P. Le Lay, M.-P. Isaure, J.-E. Sarry, L. Kuhn, B .Fayard, J.-L. Le Bail, O. Bastiena, J. Garin, C. Roby & J. Bourguignon",2006,Biochimie,16716483,NA,10.1016/j.biochi.2006.03.013,http://www.sciencedirect.com/science/article/pii/S0300908406000502,MEX75,MetaPhen
BiPACE 2D--graph-based multiple alignment for comprehensive 2D gas chromatography-mass spectrometry.,"Nils Hoffmann, Mathias Wilhelm, Anja Doebbe, Karsten Niehaus & Jens Stoye",2014,Bioinformatics,24363380,NA,10.1093/bioinformatics/btt738,https://academic.oup.com/bioinformatics/article-lookup/doi/10.1093/bioinformatics/btt738,MTBLS37,MetaboLights
Fast parametric time warping of peak lists,"Ron Wehrens, Tom G. Bloemberg & Paul H.C. Eilers",2015,Bioinformatics,25971741,NA,10.1093/bioinformatics/btv299,https://doi.org/10.1093/bioinformatics/btv299,MTBLS99,MetaboLights
Aluminium stress disrupts metabolic performance of Plantago almogravensis plantlets transiently.,"Tom‡s Grevenstuk, Annick Moing, Micka‘l Maucourt, Catherine Deborde & Anabela Romano",2015,BioMetals,26433896,NA,10.1007/s10534-015-9884-2,https://link.springer.com/article/10.1007%2Fs10534-015-9884-2,P14001,MeRy-B
MetaboQuant: a tool combining individual peak calibration and outlier detection for accurate metabolite quantification in 1D 1H and 1H-13C HSQC NMR spectra,"Matthias S. Klein, Peter J. Oefner & Wolfram Gronwald",2013,BioTechniques,23662895,NA,10.2144/000114026,https://www.biotechniques.com/biotechniques/BiotechniquesJournal/2013/May/MetaboQuant-a-tool-combining-individual-peak-calibration-and-outlier-detection-for-accurate-metabolite-quantification-in-1D-1H-and-1H-13C-HSQC-NMR-spectra/biotechniques-343053.html,MTBLS25,MetaboLights
Integrated phosphoproteomic and metabolomic profiling reveals NPM-ALK-mediated phosphorylation of PKM2 and metabolic reprogramming in anaplastic large cell lymphoma.,"Scott R. P. McDonnell, Steven R. Hwang, Delphine Rolland, Carlos Murga-Zamalloa, Venkatesha Basrur, Kevin P. Conlon, Damian Fermin, Thomas Wolfe, Alexander Raskind, Chunhai Ruan, Jian-Kang Jiang, Craig J. Thomas, Cory M. Hogaboam, Charles F. Burant, Kojo S. J. Elenitoba-Johnson & Megan S. Lim",2013,Blood,23814019,PMC3739039,10.1182/blood-2013-01-482026,http://www.bloodjournal.org/content/122/6/958,ST000016,Metabolomics Workbench
Combining peak- and chromatogram-based retention time alignment algorithms for multiple chromatography-mass spectrometry datasets,"Nils Hoffmann, Matthias Keck, Heiko Neuweger, Mathias Wilhelm, Petra H_gy, Karsten Niehaus & Jens Stoye",2012,BMC Bioinformatics,22920415,PMC3546004,10.1186/1471-2105-13-214,https://link.springer.com/article/10.1186/1471-2105-13-214,MTBLS21,MetaboLights
Transcriptomic and metabolomic profiling of Zymomonas mobilis during aerobic and anaerobic fermentations.,"Shihui Yang, Timothy J Tschaplinski, Nancy L Engle, Sue L Carroll, Stanton L Martin, Brian H Davison, Anthony V Palumbo, Miguel Rodriguez Jr & Steven D Brown",2009,BMC Genomics,19154596,PMC2651186,10.1186/1471-2164-10-34,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-10-34,MEX109,MetaPhen
"Relationships between drought, heat and air humidity responses revealed by transcriptome-metabolome co-analysis","Elisabeth Georgii, Ming Jin, Jin Zhao, Basem Kanawati, Philippe Schmitt-Kopplin, Andreas Albert, J. Barbro Winkler & Anton R. Sch_ffner",2017,BMC Plant Biology,28693422,PMC5504741,10.1186/s12870-017-1062-y,https://bmcplantbiol.biomedcentral.com/articles/10.1186/s12870-017-1062-y,MTBLS355,MetaboLights
Changes in the proteomic and metabolic profiles of Beta vulgaris root tips in response to iron deficiency and resupply.,"Rub_n Rell‡n-çlvarez, Sof’a Andaluz, Jorge Rodr’guez-Celma, Gert Wohlgemuth, Graziano Zocchi, Ana çlvarez-Fern‡ndez, Oliver Fiehn, Ana Flor L—pez-Mill‡n & Javier Abad’a",2010,BMC Plant Biology,20565974,PMC3017792,10.1186/1471-2229-10-120,https://bmcplantbiol.biomedcentral.com/articles/10.1186/1471-2229-10-120,MEX92,MetaPhen
The Arabidopsis pop2-1mutant reveals the involvement of GABA transaminase in salt stress tolerance,"Hugues Renault, Val_rie Roussel, Abdelhak El Amrani, Matthieu Arzel, David Renault, Alain Bouchereau & Carole Deleu",2010,BMC Plant Biology,20122158,PMC2825238,10.1186/1471-2229-10-20,https://bmcplantbiol.biomedcentral.com/articles/10.1186/1471-2229-10-20,MEX93,MetaPhen
Unbiased characterization of genotype-dependent metabolic regulations by metabolomic approach in Arabidopsis thaliana,"Miyako Kusano, Atsushi Fukushima, Masanori Arita, P_r Jonsson, Thomas Moritz, Makoto Kobayashi, Naomi Hayashi, Takayuki Tohge & Kazuki Saito",2007,BMC Systems Biology,18028551,PMC2233643,10.1186/1752-0509-1-53,https://link.springer.com/article/10.1186/1752-0509-1-53,MTBLS40,MetaboLights
Metabolomic correlation-network modules in Arabidopsis based on a graph-clustering approach,"Atsushi Fukushima, Miyako Kusano, Henning Redestig, Masanori Arita & Kazuki Saito",2011,BMC Systems Biology,21194489,PMC3030539,10.1186/1752-0509-5-1,https://bmcsystbiol.biomedcentral.com/articles/10.1186/1752-0509-5-1,MTBLS45,MetaboLights
Serum phosphatidylethanolamine levels distinguish benign from malignant solitary pulmonary nodules and represent a potential diagnostic biomarker for lung cancer,"Johannes Fahrmann, Dmitry Grapov, Brian C. DeFelice, Sandrac Taylor, Kyoungmic Kim, Karend Kelly, William Wikoff, Harveye Pass, William N. Rom, Olivera Fiehn, & Suzanne Miyamoto",2016,Cancer Biomarkers,27002763,NA,10.3233/CBM-160602,http://content.iospress.com/articles/cancer-biomarkers/cbm602,ST000388,Metabolomics Workbench
Serum phosphatidylethanolamine levels distinguish benign from malignant solitary pulmonary nodules and represent a potential diagnostic biomarker for lung cancer,"Johannes Fahrmann, Dmitry Grapov, Brian C. DeFelice, Sandrac Taylor, Kyoungmic Kim, Karend Kelly, William Wikoff, Harveye Pass, William N. Rom, Olivera Fiehn, & Suzanne Miyamoto",2016,Cancer Biomarkers,27002763,NA,10.3233/CBM-160602,http://content.iospress.com/articles/cancer-biomarkers/cbm602,ST000389,Metabolomics Workbench
Metabolomic markers of altered nucleotide metabolism in early stage adenocarcinoma.,"William R. Wikoff, Dmitry Grapov, Johannes F. Fahrmann, Brian DeFelice, William N. Rom, Harvey I. Pass, Kyoungmi Kim, UyenThao Nguyen, Sandra L. Taylor, David R. Gandara, Karen Kelly, Oliver Fiehn & Suzanne Miyamoto",2015,Cancer Prevention Research,25657018,PMC4618700,10.1158/1940-6207.CAPR-14-0329,http://cancerpreventionresearch.aacrjournals.org/content/8/5/410.long,ST000390,Metabolomics Workbench
Metabolomic markers of altered nucleotide metabolism in early stage adenocarcinoma.,"William R. Wikoff, Dmitry Grapov, Johannes F. Fahrmann, Brian DeFelice, William N. Rom, Harvey I. Pass, Kyoungmi Kim, UyenThao Nguyen, Sandra L. Taylor, David R. Gandara, Karen Kelly, Oliver Fiehn & Suzanne Miyamoto",2015,Cancer Prevention Research,25657018,PMC4618700,10.1158/1940-6207.CAPR-14-0329,http://cancerpreventionresearch.aacrjournals.org/content/8/5/410.long,ST000391,Metabolomics Workbench
Noninvasive urinary metabolomic profiling identifies diagnostic and prognostic markers in lung cancer.,"Ewy A. Math_, Andrew D. Patterson, Majda Haznadar, Soumen K. Manna, Kristopher W. Krausz, Elise D. Bowman, Peter G. Shields, Jeffrey R. Idle, Philip B. Smith, Katsuhiro Anami, Dickran G. Kazandjian, Emmanuel Hatzakis, Frank J. Gonzalez & Curtis C. Harris",2014,Cancer Research,24736543,PMC4100625,10.1158/0008-5472.can-14-0109,http://cancerres.aacrjournals.org/content/74/12/3259.long,MTBLS28,MetaboLights
Spatially Resolved Metabolic Phenotyping of Breast Cancer by Desorption Electrospray Ionization Mass Spectrometry,"Sabine Guenther, Laura J. Muirhead, Abigail V.M. Speller, Ottmar Golf, Nicole Strittmatter, Rathi Ramakrishnan, Robert D. Goldin, Emrys Jones, Kirill Veselkov, Jeremy Nicholson, Ara Darzi & Zoltan Takats",2015,Cancer Research,25691458,NA,10.1158/0008-5472.can-14-2258,http://cancerres.aacrjournals.org/content/75/9/1828.long,MTBLS273,MetaboLights
Imaging of esophageal lymph node metastases by desorption electrospray ionization mass spectrometry,"Nima Abbassi-Ghadi, Ottmar Golf, Sacheen Kumar, Stefan Antonowicz, James S McKenzie, Juzheng Huang, Nicole Strittmatter, Hiromi Kudo, Emrys A Jones, Kirill Veselkov, Robert Goldin, Zolt‡n Tak‡ts & George B. Hanna",2016,Cancer Research,27364550,NA,10.1158/0008-5472.can-16-0699,http://cancerres.aacrjournals.org/content/early/2016/06/30/0008-5472.CAN-16-0699,MTBLS385,MetaboLights
Lipidomic profiling of influenza infection identifies mediators that induce and resolve inflammation.,"Vincent C. Tam, Oswald Quehenberger, Christine M. Oshansky, Rosa Suen, Aaron M. Armando, Piper M. Treuting, Paul G. Thomas, Edward A. Dennis & Alan Aderem",2013,Cell,23827684,PMC3753192,10.1016/j.cell.2013.05.052,http://www.cell.com/cell/fulltext/S0092-8674(13)00695-8,MTBLS31,MetaboLights
Lipidomic profiling of influenza infection identifies mediators that induce and resolve inflammation.,"Vincent C. Tam, Oswald Quehenberger, Christine M. Oshansky, Rosa Suen, Aaron M. Armando, Piper M. Treuting, Paul G. Thomas, Edward A. Dennis & Alan Aderem",2013,Cell,23827684,PMC3753192,10.1016/j.cell.2013.05.052,http://www.cell.com/cell/fulltext/S0092-8674(13)00695-8,MTBLS32,MetaboLights
Lipidomic profiling of influenza infection identifies mediators that induce and resolve inflammation.,"Vincent C. Tam, Oswald Quehenberger, Christine M. Oshansky, Rosa Suen, Aaron M. Armando, Piper M. Treuting, Paul G. Thomas, Edward A. Dennis & Alan Aderem",2013,Cell,23827684,PMC3753192,10.1016/j.cell.2013.05.052,http://www.cell.com/cell/fulltext/S0092-8674(13)00695-8,MTBLS33,MetaboLights
Lipidomic profiling of influenza infection identifies mediators that induce and resolve inflammation.,"Vincent C. Tam, Oswald Quehenberger, Christine M. Oshansky, Rosa Suen, Aaron M. Armando, Piper M. Treuting, Paul G. Thomas, Edward A. Dennis & Alan Aderem",2013,Cell,23827684,PMC3753192,10.1016/j.cell.2013.05.052,http://www.cell.com/cell/fulltext/S0092-8674(13)00695-8,MTBLS34,MetaboLights
Cheese rind communities provide tractable systems for in situ and in vitro studies of microbial diversity,"Benjamin E. Wolfe, Julie E. Button, Marcela Santarelli & Rachel J. Dutton",2014,Cell,25036636,PMC4222527,10.1016/j.cell.2014.05.041,http://www.sciencedirect.com/science/article/pii/S0092867414007454?via%3Dihub,MSV000078706,GNPS
Structural Characterization and Bioactivity Analysis of the Two-Component Lantibiotic Flv System from a Ruminant Bacterium,Xiling Zhao & Wilfred A.van der Donk,2016,Cell Chemical Biology,27028884,PMC4814930,10.1016/j.chembiol.2015.11.014,http://www.sciencedirect.com/science/article/pii/S245194561600026X?via%3Dihub,MSV000079506,GNPS
Lactate promotes glutamine uptake and metabolism in oxidative cancer cells,"Jhudit P_rez-Escuredo, Rajesh K Dadhich, Suveera Dhup, Andrea Cacace, Vincent F Van H_e, Christophe J De Saedeleer, Martina Sboarina, Fabien Rodriguez, Marie-Jos_phine Fontenille, Lucie Brisson, Paolo E Porporato & Pierre Sonveaux",2015,Cell Cycle,26636483,PMC4825768,10.1080/15384101.2015.1120930,http://www.tandfonline.com/doi/full/10.1080/15384101.2015.1120930,ST000159,Metabolomics Workbench
Integrated Omics Analysis of Pathogenic Host Responses during Pandemic H1N1 Influenza Virus Infection: The Crucial Role of Lipid Metabolism.,"Jennifer Tisoncik-Go, David J. Gasper, Jennifer E. Kyle, Amie J. Eisfeld, Christian Selinger, Masato Hatta, Juliet Morrison, Marcus J. Korth, Erika M. Zink, Young-Mo Kim, Athena A. Schepmoes, Carrie D. Nicora, Samuel O. Purvine, Karl K. Weitz, Xinxia Peng, Richard R. Green, Susan C. Tilton, Bobbie-Jo Webb-Robertson, Katrina M. Waters, Thomas O. Metz, Richard D. Smith, Yoshihiro Kawaoka, M. Suresh, Laurence Josset & Michael G. Katze",2016,Cell Host & Microbe,26867183,PMC5271177,10.1016/j.chom.2016.01.002,http://www.cell.com/cell-host-microbe/fulltext/S1931-3128(16)30001-4?_returnURL=http%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1931312816300014%3Fshowall%3Dtrue,MTBLS196,MetaboLights
Clock Regulation of Metabolites Reveals Coupling between Transcription and Metabolism.,"Saikumari Y. Krishnaiah, Gang Wu, Brian J. Altman, Jacqueline Growe, Seth D. Rhoades, Faith Coldren, Anand Venkataraman, Anthony O. Olarerin-George, Lauren J. Francey, Sarmistha Mukherjee, Saiveda Girish, Christopher P. Selby, Sibel Cal, Ubeydullah ER, Bahareh Sianati, Arjun Sengupta, Ron C. Anafi, I. Halil Kavakli, Aziz Sancar, Joseph A. Baur, Chi V. Dang, John B. Hogenesch & Aalim M. Weljie,",2017,Cell Metabolism,28380384,PMC5479132,10.1016/j.cmet.2017.03.019,http://www.cell.com/cell-metabolism/fulltext/S1550-4131(17)30171-7?_returnURL=http%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1550413117301717%3Fshowall%3Dtrue,MTBLS292,MetaboLights
Time-restricted feeding without reducing caloric intake prevents metabolic diseases in mice fed a high-fat diet.,"Megumi Hatori, Christopher Vollmers, Amir Zarrinpar, Luciano DiTacchio, Eric A. Bushong, Shubhroz Gill, Mathias Leblanc, Amandine Chaix, Matthew Joens, James A.J. Fitzpatrick, Mark H. Ellisman & Satchidananda Panda",2012,Cell Metabolism,22608008,PMC3491655,10.1016/j.cmet.2012.04.019,http://www.cell.com/cell-metabolism/fulltext/S1550-4131(12)00189-1?_returnURL=http%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1550413112001891%3Fshowall%3Dtrue,ST000192,Metabolomics Workbench
